Time	Time Code	Country Name	Country Code	CO2 emissions	Mortality_diseases	under_five_deaths	Water_use	Suicide_rate	measles_immunization
2010	YR2010	Estonia	EST	13.5996890666366	19.6	69	99.472284093737	18.3	95
2010	YR2010	Eswatini	SWZ	0.862756818637179	26.6	3425	62.3315903987914	11.9	94
2010	YR2010	Ethiopia	ETH	0.0750938597422405	18.9	251358	31.536170618882	7.3	64
2010	YR2010	Faroe Islands	FRO	12.9912255406797			100		
2010	YR2010	Fiji	FJI	1.4199790685505	32.9	445	94.0733098029441	4.8	94
2010	YR2010	Finland	FIN	11.5752816522205	11.8	179	100	18.9	98
2010	YR2010	France	FRA	5.42898086189895	11.8	3300	99.9842509090909	20.2	89
2010	YR2010	French Polynesia	PYF	3.20393547905309			100		
2010	YR2010	Gabon	GAB	2.93322440419215	15.1	3192	85.2908442855442	6.9	62
2010	YR2010	Gambia, The	GMB	0.255713888079596	21.1	5541	78.0874397127558	5.1	92
2010	YR2010	Georgia	GEO	1.60839887926643	25	990	91.6523045291208	6.9	94
2010	YR2010	Germany	DEU	9.27963401169499	13.1	2840	100	13.7	97
2010	YR2010	Ghana	GHA	0.40616280838234	20.4	57281	73.5083998950932	4.7	93
2010	YR2010	Gibraltar	GIB	14.0320286842026			99.6182703698829		
2010	YR2010	Greece	GRC	7.54018386811447	12.9	443	99.9081286095243	3.3	99
2010	YR2010	Greenland	GRL	11.6637729549249			100		
2010	YR2010	Grenada	GRD	2.48724170543672	23.9	29	95.6307875050065	0.9	95
2010	YR2010	Guam	GUM				99.646		
2010	YR2010	Guatemala	GTM	0.797292859116729	14.9	14310	91.0012022229409	2.9	93
2010	YR2010	Guinea	GIN	0.241201500439589	23.1	44256	63.0261674048291	6.6	58
2010	YR2010	Guinea-Bissau	GNB	0.153196261922513	21.5	6716	63.8052235693397	4.2	76
2010	YR2010	Guyana	GUY	2.30367581266509	31.2	596	92.5549850146941	26.8	95
2010	YR2010	Haiti	HTI	0.212694146185799	22.3	58323	62.1081730259302	10.2	64
2010	YR2010	Honduras	HND	0.973269196554196	14.3	4806	89.0668133738441	2.5	97
2010	YR2010	Hong Kong SAR, China	HKG	5.79112653398252			99.6551785714286		
2010	YR2010	Hungary	HUN	5.02231164868321	24.2	560	99.9688775437968	26	99
2010	YR2010	Iceland	ISL	6.16852858593703	9.8	12	100	13.3	93
2010	YR2010	India	IND	1.39700890564172	24.2	1545388	85.2629116139574	16.5	82
2010	YR2010	Indonesia	IDN	1.76790787941536	27	166889	84.7854194506465	3.6	78
2010	YR2010	Iran, Islamic Rep.	IRN	7.68472866152124	18	26483	95.0776828640349	6.6	99
2010	YR2010	Iraq	IRQ	3.64712877455071	22.5	38777	82.5026938369793	2.8	75
