Time	Time Code	Country Name	Country Code	Surface	Population	GNI
2010	YR2010	Korea, Dem. People’s Rep.	PRK	120540	24591599	
2010	YR2010	Korea, Rep.	KOR	100030	49554112	1095599453662.05
2010	YR2010	Lao PDR	LAO	236800	6246274	6675875806.53202
2010	YR2010	Macao SAR, China	MAC	29.6999999999999	536969	25080365399.5151
2010	YR2010	Malaysia	MYS	330800	28112289	246904163174.071
2010	YR2010	Marshall Islands	MHL	180	52425	199294900
2010	YR2010	Micronesia, Fed. Sts.	FSM	700	103616	307088400
2010	YR2010	Mongolia	MNG	1564120	2712650	6609616683.64695
2010	YR2010	Myanmar	MMR	676590	50155896	49528711971.0951
2010	YR2010	Nauru	NRU	20	10025	57360440.5286344
2010	YR2010	New Caledonia	NCL	18580	249750	
2010	YR2010	New Zealand	NZL	267710	4350700	139300538828.216
2010	YR2010	Northern Mariana Islands	MNP	460	54424	
2010	YR2010	Palau	PLW	460	20470	181519800
2010	YR2010	Papua New Guinea	PNG	462840	7108239	13103843049.9518
2010	YR2010	Philippines	PHL	300000	93726624	240578672659.022
2010	YR2010	Samoa	WSM	2840	186205	624740011.033178
2010	YR2010	Singapore	SGP	712	5076732	235076347634.763
2010	YR2010	Solomon Islands	SLB	28900	527790	496544088.288177
2010	YR2010	Thailand	THA	513120	67208808	326815629763.584
2010	YR2010	Timor-Leste	TLS	14870	1109591	3337447156.78022
2010	YR2010	Tonga	TON	750	104137	381421328.218155
2010	YR2010	Tuvalu	TUV	30	10531	50918730.5081636
2010	YR2010	Vanuatu	VUT	12190	236295	675721146.721868
2010	YR2010	Vietnam	VNM	330954	88472512	111512775426.54
2010	YR2010	Angola	AGO	1246700	23369131	74439279985.8986
2010	YR2010	Benin	BEN	114760	9199259	6916757693.16968
2010	YR2010	Botswana	BWA	581730	2014866	12237098092.3222
2010	YR2010	Burkina Faso	BFA	274220	15605217	8744700440.35964
2010	YR2010	Burundi	BDI	27830	8766930	2014764469.06325
2010	YR2010	Cabo Verde	CPV	4030	502384	1591147121.9859
2010	YR2010	Cameroon	CMR	475440	19970495	25879823789.7177
2010	YR2010	Central African Republic	CAF	622980	4448525	1995649833.12369
2010	YR2010	Chad	TCD	1284000	11887202	10302348837.1154
2010	YR2010	Comoros	COM	1861	689692	529642819.376619
2010	YR2010	Congo, Dem. Rep.	COD	2344860	64523263	20654941758.4402
2010	YR2010	Congo, Rep.	COG	342000	4386693	9024206656.07327
2010	YR2010	Cote d'Ivoire	CIV	322460	20401331	23972203265.4454
2010	YR2010	Equatorial Guinea	GNQ	28050	951104	9569119906.6381
2010	YR2010	Eritrea	ERI	117600	4390840	2097411538.21138
2010	YR2010	Eswatini	SWZ	17360	1202843	4212627096.65082
2010	YR2010	Ethiopia	ETH	1104300	87702670	29825574928.2445
2010	YR2010	Gabon	GAB	267670	1640210	12472343759.1489
2010	YR2010	Gambia, The	GMB	11300	1692149	921898043.695559
2010	YR2010	Ghana	GHA	238540	24512104	31640997973.4451
2010	YR2010	Guinea	GIN	245860	10794170	6550018417.89552
2010	YR2010	Guinea-Bissau	GNB	36130	1555880	846990693.533718
2010	YR2010	Kenya	KEN	580370	41350152	39852460837.1238
2010	YR2010	Lesotho	LSO	30360	2040551	3023141288.31339
2010	YR2010	Liberia	LBR	111370	3948125	1113297000
2010	YR2010	Madagascar	MDG	587040	21151640	8636905820.37848
2010	YR2010	Malawi	MWI	118480	15167095	6851198433.34055
2010	YR2010	Mali	MLI	1240190	15075085	10259757670.9599
2010	YR2010	Mauritania	MRT	1030700	3609543	4274665077.55667
2010	YR2010	Mauritius	MUS	2040	1250400	10123211756.604
2010	YR2010	Mozambique	MOZ	799380	24221405	9813293356.02663
2010	YR2010	Namibia	NAM	824290	2173170	10849382546.5771
2010	YR2010	Niger	NER	1267000	16425578	5674417311.32275
2010	YR2010	Nigeria	NGA	923770	158578261	349548114983.566
2010	YR2010	Rwanda	RWA	26340	10246842	5730212547.47433
2010	YR2010	Sao Tome and Principe	STP	960	174776	198044427.299485
2010	YR2010	Senegal	SEN	196710	12916229	12798660531.1596
2010	YR2010	Seychelles	SYC	460	89770	915708538.424568
2010	YR2010	Sierra Leone	SLE	72300	6458720	2606465306.94302
2010	YR2010	Somalia	SOM	637660	12053223	
2010	YR2010	South Africa	ZAF	1219090	51584663	367295211821.584
2010	YR2010	South Sudan	SSD		10067192	
2010	YR2010	Sudan	SDN	2505810	34385963	60506632350.3903
2010	YR2010	Tanzania	TZA	947300	46098591	31077825608.7985
2010	YR2010	Togo	TGO	56790	6502952	2761612188.73479
2010	YR2010	Uganda	UGA	241550	33915133	19849118318.9968
2010	YR2010	Zambia	ZMB	752610	13850033	18902544203.7898
2010	YR2010	Zimbabwe	ZWE	390760	14086317	8714543200
2010	YR2010	Antigua and Barbuda	ATG	440	94661	1120979666.66667
2010	YR2010	Argentina	ARG	2780400	41223889	409147898256.259
2010	YR2010	Aruba	ABW	180	101669	
2010	YR2010	Bahamas, The	BHS	13880	360832	7675112400
2010	YR2010	Barbados	BRB	430	279569	4362050000
2010	YR2010	Belize	BLZ	22970	321608	1239592600
2010	YR2010	Bolivia	BOL	1098580	9918242	18785524235.0393
2010	YR2010	Brazil	BRA	8515770	196796269	2144023988176.44
2010	YR2010	British Virgin Islands	VGB	150	27224	
2010	YR2010	Cayman Islands	CYM	264	55507	
2010	YR2010	Chile	CHL	756096	16993354	203015689275.554
2010	YR2010	Colombia	COL	1141750	45918097	275788744593.561
2010	YR2010	Costa Rica	CRI	51100	4545280	36060012376.6425
2010	YR2010	Cuba	CUB	109880	11333051	62895900000
2010	YR2010	Curacao	CUW	444	148703	
2010	YR2010	Dominica	DMA	750	71440	484383222.222222
2010	YR2010	Dominican Republic	DOM	48670	9897985	51997530108.1181
2010	YR2010	Ecuador	ECU	256370	14934690	68518229500
2010	YR2010	El Salvador	SLV	21040	6164626	20880120000
2010	YR2010	Grenada	GRD	340	104677	731138259.259259
2010	YR2010	Guatemala	GTM	108890	14630417	40093479926.0335
2010	YR2010	Guyana	GUY	214970	746556	2285997845.17261
2010	YR2010	Haiti	HTI	27750	9999617	6644821528.86657
2010	YR2010	Honduras	HND	112490	8194778	15106967772.6167
2010	YR2010	Jamaica	JAM	10990	2817210	12705196981.0025
2010	YR2010	Mexico	MEX	1964380	117318941	1061247046771.13
2010	YR2010	Nicaragua	NIC	130370	5737723	8746930283.1938
2010	YR2010	Panama	PAN	75420	3643222	26743600000
2010	YR2010	Paraguay	PRY	406752	6209877	18618461418.1594
2010	YR2010	Peru	PER	1285220	29373646	136692860429.719
2010	YR2010	Puerto Rico	PRI	8870	3721525	64294562000
2010	YR2010	Sint Maarten (Dutch part)	SXM	34	34056	
2010	YR2010	St. Kitts and Nevis	KNA	260	51445	675878296.296296
2010	YR2010	St. Lucia	LCA	620	172580	1342400777.77778
2010	YR2010	St. Martin (French part)	MAF	54.4	30235	
2010	YR2010	St. Vincent and the Grenadines	VCT	390	109315	668947037.037037
2010	YR2010	Suriname	SUR	163820	526103	4264098054.92824
2010	YR2010	Trinidad and Tobago	TTO	5130	1328100	21078446992.3928
2010	YR2010	Turks and Caicos Islands	TCA	950	30994	
2010	YR2010	Uruguay	URY	176220	3374415	38781974490.6353
2010	YR2010	Venezuela, RB	VEN	912050	29028033	388341431499.169
2010	YR2010	Virgin Islands (U.S.)	VIR	350	108358	
2010	YR2010	Bermuda	BMU	50	65124	7163899000
2010	YR2010	Canada	CAN	9984670	34005274	1581499571678.01
2010	YR2010	United States	USA	9831510	309338421	15121133000000
